DailyQCReport_U1368_20250412_142540


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U1368
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,377,-17,-4.314721,1951.807,2.093515,1592.151
Violet,SSC,148,3,2.068965,1990.938,4.54972,11035.75
Blue,SSC-B,144,14,10.76923,2019.847,3.30283,11316.16
UV,UV1 (373),1012,100,10.96491,306.6825,3.511356,44.03705
UV,UV2 (388),283,28,10.98039,2044.86,1.690491,384.6932
UV,UV3 (428),219,15,7.352942,1550.573,1.508064,1374.993
UV,UV4 (443),163,16,10.88435,1234.469,1.722292,1724.561
UV,UV5 (458),204,16,8.510638,1218.035,1.887666,2482.463
UV,UV6 (473),249,21,9.210526,1547.299,1.912893,4488.656
UV,UV7 (514),392,33,9.192201,1711.555,2.000463,6315.022
UV,UV8 (542),302,16,5.594406,1041.856,1.973354,3432.055
UV,UV9 (582),362,16,4.624277,1360.329,1.895782,2805.679
UV,UV10 (613),259,17,7.024793,1250.998,1.722291,3326.292
UV,UV11 (664),304,6,2.013423,593.4505,1.715871,1702.263
UV,UV12 (692),294,11,3.886926,492.2345,1.726319,994.863
UV,UV13 (720),445,38,9.33661,549.38,1.879068,891.4188
UV,UV14 (750),761,67,9.654179,654.287,2.050099,1204.562
UV,UV15 (780),638,75,13.32149,611.2255,2.15031,826.2295
UV,UV16 (812),1114,376,50.94851,861.2005,2.856878,542.2559
Violet,V1 (428),135,8,6.299212,600.7445,1.959602,1248.132
Violet,V2 (443),248,16,6.896552,1273.721,1.811701,2937.691
Violet,V3 (458),224,14,6.666667,1388.279,1.67031,3500.156
Violet,V4 (473),149,10,7.194245,1238.565,1.650924,3587.383
Violet,V5 (508),175,11,6.707317,1062.568,1.582059,3757.695
Violet,V6 (525),179,9,5.294118,768.003,1.620054,2717.449
Violet,V7 (542),232,8,3.571429,890.2715,1.584629,2603.996
Violet,V8 (581),287,6,2.135231,766.7475,1.736373,1401.917
Violet,V9 (598),264,14,5.6,779.9085,1.686526,1202.812
Violet,V10 (615),292,10,3.546099,1183.456,1.761516,1083.41
Violet,V11 (664),209,-7,-3.240741,532.7775,2.339988,482.4226
Violet,V12 (692),175,-6,-3.314917,457.756,2.536553,241.6527
Violet,V13 (720),177,4,2.312139,524.723,2.584749,150.537
Violet,V14 (750),242,7,2.978724,466.508,2.725229,114.6058
Violet,V15 (780),450,43,10.56511,499.3855,3.079833,72.10146
Violet,V16 (812),483,194,67.12803,578.755,3.961174,31.83041
Blue,B1 (508),539,-18,-3.231598,144.6305,2.2133,409.2611
Blue,B2 (525),329,-9,-2.662722,177.5145,1.934314,417.4715
Blue,B3 (542),327,-10,-2.967359,542.0975,1.970597,1157.112
Blue,B4 (581),305,-12,-3.785489,747.1325,1.905667,1371.171
Blue,B5 (598),231,-5,-2.118644,883.0815,2.181457,1455.082
Blue,B6 (615),228,-3,-1.298701,936.5815,2.412132,1096.195
Blue,B7 (661),464,-31,-6.262627,581.0875,2.546587,527.0755
Blue,B8 (679),320,-26,-7.514451,488.3085,2.933454,505.0143
Blue,B9 (697),450,-15,-3.225806,605.126,3.011971,444.9762
Blue,B10 (717),421,-1,-0.2369668,422.5355,3.203138,218.8158
Blue,B11 (738),293,0,0,279.1755,3.274616,131.4251
Blue,B12 (760),286,1,0.3508772,276.7805,3.309378,121.0765
Blue,B13 (783),458,27,6.264501,256.318,3.519677,83.49905
Blue,B14 (812),770,256,49.80545,554.691,3.756585,73.23005
YellowGreen,YG1 (577),403,0,0,920.2215,1.381371,1330.722
YellowGreen,YG2 (598),405,10,2.531646,1827.306,1.517736,1271.809
YellowGreen,YG3 (615),259,5,1.968504,2691.427,1.592644,2023.041
YellowGreen,YG4 (661),452,-19,-4.03397,1542.281,1.726332,1317.223
YellowGreen,YG5 (679),356,-20,-5.319149,1370.442,1.97461,1325.993
YellowGreen,YG6 (697),444,-8,-1.769912,1508.561,1.80873,730.7045
YellowGreen,YG7 (720),307,3,0.986842,2102.561,1.934869,802.7499
YellowGreen,YG8 (750),283,7,2.536232,1091.972,2.062939,387.1465
YellowGreen,YG9 (780),390,24,6.557377,1037.118,2.077669,255.3563
YellowGreen,YG10 (812),564,186,49.20635,1224.772,2.585309,113.2248
Red,R1 (661),118,-30,-20.27027,424.4345,1.892634,1181.96
Red,R2 (679),126,-25,-16.55629,1090.51,2.176231,1921.533
Red,R3 (697),203,-11,-5.140187,2065.484,1.835697,1708.422
Red,R4 (717),206,-2,-0.9615385,1985.492,1.935718,1006.395
Red,R5 (738),161,-1,-0.6172839,1646.704,1.99669,1027.087
Red,R6 (760),152,2,1.333333,1456.318,2.02967,774.232
Red,R7 (783),284,22,8.396947,1927.25,2.050719,615.3893
Red,R8 (812),276,104,60.46511,2134.073,2.16038,238.2773


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-39.65,1.116771,51.39
Violet,-19.575,1.093838,93.205
Blue,0,1.174958,82.42751
Red,20.05,1.04573,74.564
UV,39.475,1.108957,0
FSC Area Scaling Factor,1.187267,Window Extension,3
Flow Rate,17.03
Temperature,27.38
