"SAMPLE","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R660-A_Gain","R660-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B695-A_Gain","B695-H_Gain","V450-A_Gain","V450-H_Gain","V530-A_Gain","V530-H_Gain","V710-A_Gain","V710-H_Gain","Y590-A_Gain","Y590-H_Gain","Y610-A_Gain","Y610-H_Gain","Y670-A_Gain","Y670-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R660-A","R660-H","R780-A","R780-H","B530-A","B530-H","B695-A","B695-H","V450-A","V450-H","V530-A","V530-H","V710-A","V710-H","Y590-A","Y590-H","Y610-A","Y610-H","Y670-A","Y670-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","Yellow_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","Yellow_AreaScalingFactor"
"20-DEC-2024",2024-12-20,10H 9M 35S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,40813.173828125,65046.857421875,41025.5,128576.49609375,63631.28515625,131430,223.740005493164,260,215.820007324219,241,447.849975585938,476,384.149993896484,419,516.150024414062,567,264.179992675781,274,366.300018310547,381,281.160003662109,316,246.369995117188,272,293.584991455078,324,276.899993896484,329,NA,NA,NA,NA,NA,NA,NA,NA
"19-DEC-2024",2024-12-19,10H 9M 46S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,39832.943359375,64811.296875,40128.5,129438.72265625,63268.83984375,132516.5,205.919998168945,243,196.020004272461,226,444.599975585938,469,390,420,522.809997558594,572,268.065002441406,288,375.179992675781,388.5,278.319976806641,315,248.854995727539,274,288.259979248047,318,271.929992675781,317,NA,NA,NA,NA,NA,NA,NA,NA
"18-DEC-2024",2024-12-18,10H 22M 33S,"Unknown","2.16.0","Unknown","Unknown",420,420,420,357,357,357,539,539,455,455,610,610,678,678,557,557,452,452,520,520,388,388,452,452,439,439,512,512,42221.53515625,63813.474609375,43253,73007.8984375,65871.82421875,72154.5,212.93000793457,249,256.800018310547,285,273,281,266,275,480.000030517578,511,267.600006103516,274,369.600006103516,365,265.649993896484,277.5,248.709991455078,263,323.399993896484,343,368.829986572266,423,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2024",2024-12-17,14H 33M 56S,"Unknown","2.16.0","Unknown","Unknown",420,420,420,357,357,357,539,539,455,455,610,610,678,678,557,557,452,452,520,520,388,388,452,452,439,439,512,512,41167.53125,60009.63671875,44826,72224.6015625,60848.73828125,77331,212.93000793457,260,254.660018920898,298,257.600006103516,277,265.299987792969,297,454.800018310547,508,253.200012207031,264,336,342,257.949981689453,306,244.860000610352,278,305.690002441406,353,338.799987792969,431,NA,NA,NA,NA,NA,NA,NA,NA
"17-DEC-2024",2024-12-17,10H 2M 46S,"Unknown","2.16.0","Unknown","Unknown",420,420,420,357,357,357,539,539,455,455,610,610,678,678,557,557,452,452,520,520,388,388,452,452,439,439,512,512,43121.986328125,64433.771484375,43702.5,75655.296875,66642.9375,73557,216.140014648438,246,264.290008544922,301,281.399993896484,285,268.100006103516,277,510.000030517578,547,284.400024414062,283,381.600006103516,382,270.269989013672,287,248.324989318848,255,328.789978027344,342,374.989990234375,426,NA,NA,NA,NA,NA,NA,NA,NA
"16-DEC-2024",2024-12-16,11H 10M 57S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,39309.21484375,64065.302734375,40115,127576.46875,62548.72265625,132206,238.589996337891,286.5,227.205001831055,259,473.849975585938,510.5,430.949981689453,467,597.179992675781,655,301.920013427734,322,418.470001220703,434,297.489990234375,338,263.410003662109,295,308.139984130859,350,300.329986572266,366,NA,NA,NA,NA,NA,NA,NA,NA
"13-DEC-2024",2024-12-13,10H 47M 19S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,39219.158203125,63114.46484375,40620.5,126246.24609375,61541.6953125,133262,209.880004882812,247,196.020004272461,231,434.849975585938,476,379.599975585938,418,531.690002441406,595,277.5,298,379.619995117188,402,279.739990234375,319,246.369995117188,272,286.130004882812,316,269.799987792969,325,NA,NA,NA,NA,NA,NA,NA,NA
"12-DEC-2024",2024-12-12,10H 7M 55S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,39724.21484375,64132.31640625,40398,126572.87109375,62907.537109375,130610.5,217.800003051758,262,205.919998168945,234,452.399993896484,487.5,385.774978637695,418,550.005004882812,607,283.050018310547,298,391.830017089844,415,283.289978027344,327,248.5,276,293.940002441406,318,273.350006103516,329,NA,NA,NA,NA,NA,NA,NA,NA
"11-DEC-2024",2024-12-11,10H 43M 22S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,41540.66796875,64665.923828125,41931.5,136570.5234375,63112.626953125,139632.5,216.809997558594,254.5,206.910003662109,233,471.899993896484,496,403,442,547.785003662109,603,283.050018310547,298,380.730010986328,390,281.160003662109,312,247.789993286133,277,288.970001220703,323,273.350006103516,336,NA,NA,NA,NA,NA,NA,NA,NA
"10-DEC-2024",2024-12-10,10H 53M 7S,"Unknown","2.16.0","Unknown","Unknown",400,400,400,380,380,380,533,533,436,436,640,640,700,700,558,558,450,450,520,520,389,389,450,450,430,430,488,488,40731.41796875,64317.658203125,41298.5,130972.39453125,63012.923828125,133948,241.559997558594,286,233.639999389648,266,476.449981689453,504,416,458,571.650024414062,624,293.040008544922,319,398.489990234375,419,290.389984130859,329.5,257.72998046875,288,297.489990234375,333,286.839996337891,346,NA,NA,NA,NA,NA,NA,NA,NA
