DailyQCReport_S0205_20250115_154847


QC Status,PASSED,Date,"January 15, 2025 - 15:48 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,130
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K03693
Software,SpectroFloCS 1.4.0,Sheath Pressure,8

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1964.17,2.435563,2465.015
Violet,SSC,240,-9,-3.614458,1996.832,10.70911,12194.62
Blue,SSC-B,371,9,2.486188,2006.393,3.900813,15292.28
UV,UV1 (373),822,24,3.007519,304.088,5.496982,72.63653
UV,UV2 (388),404,15,3.856041,2040.137,4.496346,634.7
UV,UV3 (428),279,9,3.333333,1562.941,3.935371,2124.976
UV,UV4 (443),296,11,3.859649,1240.824,4.01139,2741.699
UV,UV5 (458),295,11,3.87324,1227.041,3.808836,3413.646
UV,UV6 (473),380,15,4.109589,1566.545,3.552377,6054.082
UV,UV7 (514),549,17,3.195489,1736.103,3.306873,8769.446
UV,UV8 (542),492,14,2.92887,1044.067,3.285024,4616.1
UV,UV9 (582),650,14,2.201258,1362.751,3.244117,4913.095
UV,UV10 (613),369,12,3.361345,1239.05,3.208863,6093.581
UV,UV11 (664),467,8,1.742919,598.921,3.12724,2352.831
UV,UV12 (692),399,9,2.307692,493.151,3.095695,1194.426
UV,UV13 (720),575,11,1.950355,548.54,3.008729,1386.877
UV,UV14 (750),929,17,1.864035,657.555,3.13448,1725.59
UV,UV15 (780),707,14,2.020202,607.956,3.127303,1073.809
UV,UV16 (812),1052,67,6.802031,861.893,3.834418,891.5356
Violet,V1 (428),261,3,1.162791,598.335,3.339359,1446.317
Violet,V2 (443),342,6,1.785714,1278.839,3.315929,3570.944
Violet,V3 (458),327,6,1.869159,1384.295,3.306962,4074.615
Violet,V4 (473),212,2,0.952381,1238.918,3.196526,3955.144
Violet,V5 (508),231,2,0.8733625,1070.794,3.134145,3728.126
Violet,V6 (525),225,3,1.351351,768.163,3.087315,3206.848
Violet,V7 (542),300,4,1.351351,903.368,2.914336,3221.331
Violet,V8 (581),395,3,0.7653061,763.681,2.565002,1813.218
Violet,V9 (598),354,9,2.608696,776.15,2.383984,1277.101
Violet,V10 (615),356,9,2.59366,1172.861,2.331928,1134.035
Violet,V11 (664),276,0,0,519.783,2.334465,535.5804
Violet,V12 (692),261,2,0.7722008,459.194,2.301989,284.518
Violet,V13 (720),230,2,0.877193,523.731,2.149115,197.5101
Violet,V14 (750),272,3,1.115242,466.842,2.208236,144.2871
Violet,V15 (780),400,8,2.040816,502.338,2.314139,100.1314
Violet,V16 (812),368,24,6.976745,577.768,2.974033,37.17027
Blue,B1 (508),1407,28,2.030457,141.137,2.85795,468.119
Blue,B2 (525),833,8,0.969697,178.251,2.471287,543.6786
Blue,B3 (542),734,13,1.803051,548.014,2.274571,1469.31
Blue,B4 (581),646,8,1.253918,749.46,2.018424,1646.5
Blue,B5 (598),581,6,1.043478,872.69,1.902923,1632.947
Blue,B6 (615),455,7,1.5625,936.819,1.868893,1191.101
Blue,B7 (661),934,12,1.301518,584.278,1.882681,648.6849
Blue,B8 (679),655,-9,-1.355422,484.952,2.143646,673.5848
Blue,B9 (697),938,23,2.513661,607.681,2.370065,578.0596
Blue,B10 (717),730,2,0.2747253,420.296,2.570779,279.3492
Blue,B11 (738),439,2,0.4576659,278.355,2.58899,174.0061
Blue,B12 (760),478,4,0.8438818,277.474,2.630417,147.643
Blue,B13 (783),562,9,1.627486,255.532,2.750608,80.48378
Blue,B14 (812),908,55,6.447832,553.292,2.79248,91.81806
YellowGreen,YG1 (577),574,6,1.056338,930.248,2.011727,1534.854
YellowGreen,YG2 (598),589,13,2.256944,1825.497,2.036689,2100.239
YellowGreen,YG3 (615),368,8,2.222222,2712.107,2.063397,2464.71
YellowGreen,YG4 (661),735,-2,-0.2713704,1516.533,1.977263,1756.545
YellowGreen,YG5 (679),552,2,0.3636364,1358.129,2.14855,1451.17
YellowGreen,YG6 (697),713,-1,-0.140056,1532.183,2.081284,853.3831
YellowGreen,YG7 (720),477,5,1.059322,2096.849,2.142267,886.0302
YellowGreen,YG8 (750),467,5,1.082251,1092.917,2.175317,474.1575
YellowGreen,YG9 (780),537,9,1.704545,1039.896,2.184869,288.4022
YellowGreen,YG10 (812),676,40,6.289309,1230.067,2.52774,141.3091
Red,R1 (661),245,-11,-4.296875,418.795,2.233971,1472.283
Red,R2 (679),245,-4,-1.606426,1092.762,2.387357,3005.145
Red,R3 (697),449,8,1.814059,2084.166,2.159784,2575.636
Red,R4 (717),379,5,1.336898,1987.786,2.207798,1671.029
Red,R5 (738),228,4,1.785714,1650.023,2.153436,1292.24
Red,R6 (760),248,4,1.639344,1448.545,2.098659,1068.458
Red,R7 (783),495,13,2.697095,1921.995,2.166032,781.1473
Red,R8 (812),281,20,7.662835,2153.326,2.677292,351.761


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-57.43,0.85
Red,-29.25,0.82
Blue,0.00,0.94
Violet,29.18,1.02
YellowGreen,56.90,0.94
FSC Area Scaling Factor,0.93,Window Extension,3
Temperature,26.6


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
V3,% rCV,<  6 (Recommended)
YG3,% rCV,<  6 (Recommended)
All Channels,% Gain Change,<  100 (Recommended)

