DailyQCReport_S0205_20250115_201655


QC Status,PASSED,Date,"January 15, 2025 - 20:16 PM"
Cytometer Name,Aurora CS,User,CytekService
Serial Number,S0205,Nozzle Size,100
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38104
Software,SpectroFloCS 1.4.0,Sheath Pressure,17.3

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,1999.766,2.52154,2147.455
Violet,SSC,234,-6,-2.5,1969.141,10.74658,12990.85
Blue,SSC-B,361,-5,-1.36612,2005.767,3.393379,16752.58
UV,UV1 (373),796,-5,-0.6242198,299.126,4.234515,72.94442
UV,UV2 (388),391,-3,-0.7614213,2010.173,3.422229,620.5009
UV,UV3 (428),271,-1,-0.3676471,1546.607,3.043763,2176.043
UV,UV4 (443),289,0,0,1239.028,3.160925,2666.398
UV,UV5 (458),286,0,0,1212.763,3.007262,3354.476
UV,UV6 (473),367,-4,-1.078167,1542.977,2.808249,6414.511
UV,UV7 (514),526,-7,-1.313321,1699.983,2.65138,8837.552
UV,UV8 (542),475,-4,-0.8350731,1031.766,2.658617,4771.787
UV,UV9 (582),624,-12,-1.886792,1341.869,2.649395,5192.202
UV,UV10 (613),357,-2,-0.557103,1249.76,2.566224,6484.192
UV,UV11 (664),434,-3,-0.6864989,592.48,2.594986,2411.74
UV,UV12 (692),379,-5,-1.302083,493.784,2.580283,1338.137
UV,UV13 (720),563,0,0,546.296,2.592355,1343.588
UV,UV14 (750),907,-6,-0.6571741,651.357,2.675401,1704.892
UV,UV15 (780),715,2,0.2805049,605.931,2.686929,1139.944
UV,UV16 (812),1302,48,3.827751,848.029,3.43873,870.6669
Violet,V1 (428),257,-1,-0.3875969,601.231,3.13984,1582.067
Violet,V2 (443),335,-4,-1.179941,1269.088,3.038461,3413.83
Violet,V3 (458),319,-3,-0.931677,1375.506,3.070584,4236.708
Violet,V4 (473),207,-1,-0.4807692,1230.093,3.006023,3954.339
Violet,V5 (508),225,-4,-1.746725,1063.946,2.941838,3805.742
Violet,V6 (525),220,-1,-0.4524887,764.874,2.907902,3254.623
