DailyQCReport_S0205_20250117_095143


QC Status,PASSED,Date,"January 17, 2025 - 09:51 AM"
Cytometer Name,Aurora CS,User,Admin
Serial Number,S0205,Nozzle Size,100
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38006
Software,SpectroFloCS 1.4.0,Sheath Pressure,17.3

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,422,0,0,2002.513,2.165274,2768.564
Violet,SSC,243,4,1.67364,2002.529,11.61037,11700.5
Blue,SSC-B,368,7,1.939058,1975.972,3.007747,15596.96
UV,UV1 (373),816,2,0.2457002,302.415,4.390993,73.34254
UV,UV2 (388),400,3,0.7556675,2036.838,3.253449,632.3052
UV,UV3 (428),273,1,0.3676471,1535.572,2.671299,2096.119
UV,UV4 (443),291,0,0,1241.212,2.678699,2551.192
UV,UV5 (458),288,0,0,1212.928,2.547018,3757.31
UV,UV6 (473),375,6,1.626016,1557.948,2.338662,6231.913
UV,UV7 (514),540,12,2.272727,1691.165,2.11874,8867.082
UV,UV8 (542),488,10,2.09205,1032.176,2.093351,4761.882
UV,UV9 (582),649,17,2.689873,1374.598,2.116472,4840.79
UV,UV10 (613),363,8,2.253521,1247.082,2.051699,6160.353
UV,UV11 (664),461,32,7.459208,590.6475,2.092627,2338.447
UV,UV12 (692),397,15,3.926702,496.576,2.055515,1268.641
UV,UV13 (720),567,-3,-0.5263158,546.942,2.067745,1326.951
UV,UV14 (750),913,-11,-1.190476,656.462,2.229707,1804.791
UV,UV15 (780),691,-41,-5.601093,606.317,2.160715,1035.259
UV,UV16 (812),970,-434,-30.91168,855.415,2.824783,830.0373
Violet,V1 (428),258,0,0,597.9295,2.087733,1552.392
Violet,V2 (443),337,-1,-0.295858,1276.387,1.952887,3285.349
Violet,V3 (458),323,1,0.310559,1376.339,1.927288,3910.359
Violet,V4 (473),212,3,1.435407,1242.881,1.936028,4116.742
