"SAMPLE","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-A_Gain","FSC-H_Gain","FSC-W_Gain","SSC-A_Gain","SSC-H_Gain","SSC-W_Gain","R670-A_Gain","R670-H_Gain","R730-A_Gain","R730-H_Gain","R780-A_Gain","R780-H_Gain","B530-A_Gain","B530-H_Gain","B710-A_Gain","B710-H_Gain","V450-A_Gain","V450-H_Gain","V525-A_Gain","V525-H_Gain","V610-A_Gain","V610-H_Gain","V670-A_Gain","V670-H_Gain","Y590-A_Gain","Y590-H_Gain","Y615-A_Gain","Y615-H_Gain","Y710-A_Gain","Y710-H_Gain","Y780-A_Gain","Y780-H_Gain","FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","R670-A","R670-H","R730-A","R730-H","R780-A","R780-H","B530-A","B530-H","B710-A","B710-H","V450-A","V450-H","V525-A","V525-H","V610-A","V610-H","V670-A","V670-H","Y590-A","Y590-H","Y615-A","Y615-H","Y710-A","Y710-H","Y780-A","Y780-H","Red_LaserDelay","Blue_LaserDelay","Violet_LaserDelay","yellow green_LaserDelay","Red_AreaScalingFactor","Blue_AreaScalingFactor","Violet_AreaScalingFactor","yellow green_AreaScalingFactor"
"31-JUL-2024",2024-07-31,11H 8M 4S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,59330.2421875,60203.96484375,63756.5,112306.37890625,63452.12890625,115519,497.639984130859,538,417.299987792969,456,531.9599609375,585,163.179992675781,181,270.600006103516,306,223.5,229,100.5,118,103.5,148.5,311.25,344.5,221.604995727539,317,107.419998168945,168,196.800003051758,277,277.160003662109,380,NA,NA,NA,NA,NA,NA,NA,NA
"31-JUL-2024",2024-07-31,11H 8M 44S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,58220.98046875,61373.91796875,61058.5,114647.0703125,65112.396484375,115178,505.439971923828,516.5,425.879974365234,445,541.320007324219,567,161.539993286133,173,262.399993896484,286,282.75,224,108,117,109.5,143,340.5,330,291.510009765625,310.5,139.809997558594,161,247.229995727539,265,360.389984130859,376,NA,NA,NA,NA,NA,NA,NA,NA
"30-JUL-2024",2024-07-30,14H 12M 15S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,43951.931640625,62241.681640625,45211.5,111119.8359375,62858.638671875,115274.5,478.919982910156,546,393.119995117188,459,515.579956054688,592,167.279998779297,184,269.369995117188,301,219.75,228,101.25,116,100.5,138,312.75,356,224.679992675781,326,109.879997253418,181,192.289993286133,281,275.109985351562,387,NA,NA,NA,NA,NA,NA,NA,NA
"30-JUL-2024",2024-07-30,14H 12M 59S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,44780.361328125,63466.421875,45250.5,115614.2578125,65548.796875,115398,529.619995117188,546.5,439.139984130859,462,564.329986572266,590,173.430000305176,183,285.769989013672,312.5,288,229,112.5,117,119.25,142,360.375,354,306.884994506836,331,151.289993286133,184,266.705001831055,285,379.25,391,NA,NA,NA,NA,NA,NA,NA,NA
"29-JUL-2024",2024-07-29,10H 14M 15S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,42081.94921875,62189.0546875,43183.5,113549.91015625,63500.94921875,116676,467.219970703125,575,353.339996337891,442,422.759979248047,543,159.080001831055,170.5,251.739990234375,286,216.75,235,100.5,121,100.5,150,285,321,211.559997558594,308,101.680000305176,165,178.349990844727,260,245.179992675781,348,NA,NA,NA,NA,NA,NA,NA,NA
"29-JUL-2024",2024-07-29,10H 14M 55S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,42992.51953125,63455.234375,43335,117321.5,65836.5078125,116574,565.5,582,429.779998779297,446,513.239990234375,542,166.459991455078,173,268.959991455078,287,286.5,233,111.75,122,122.25,157,333,326,293.559997558594,311,143.910003662109,167,246,261,337.019989013672,348,NA,NA,NA,NA,NA,NA,NA,NA
"26-JUL-2024",2024-07-26,9H 39M 4S,"Unknown","LSRII","1","Administrator",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,43658.51953125,61779.57421875,45759,108995.21875,62372.80859375,114041,502.319976806641,558,396.239990234375,446,503.879974365234,565,167.279998779297,182,274.700012207031,326,222,228,104.25,126,111,149,310.5,363,228.369995117188,337,115.620002746582,192,190.240005493164,275,261.989990234375,373,55.91,0,20.61,38.4,0.78,0.82,0.75,0.41
"26-JUL-2024",2024-07-26,9H 40M 5S,"Unknown","LSRII","1","Administrator",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,44341.5390625,62703.91015625,45306,112371.15625,65064.81640625,113019,510.899993896484,530,404.819976806641,422,514.019958496094,539,161.539993286133,170,266.5,297,284.25,220,110.25,121,114.75,143,335.25,339,290.279998779297,317,144.729995727539,177,246,260,342.350006103516,357,55.91,0,20.61,38.4,0.78,0.82,0.75,0.41
"25-JUL-2024",2024-07-25,10H 39M 16S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,43887.1796875,62323.84375,45326,110283.4375,62921.0703125,114282,475.799987792969,557,386.099975585938,457,495.299987792969,573,159.899993896484,176,267.320007324219,312,219,220,99.75,120,99,137,302.25,338,223.039993286133,324,109.059997558594,184,191.470001220703,279,269.369995117188,383,NA,NA,NA,NA,NA,NA,NA,NA
"25-JUL-2024",2024-07-25,10H 39M 58S,"Unknown","2.16.0","Unknown","Unknown",600,600,600,280,280,280,511,511,515,515,459,459,498,498,525,525,473,473,422,422,542,542,461,461,683,683,662,662,597,597,527,527,44580.5625,63520.484375,45206,114854.9375,65689.9453125,114328,526.5,546,430.559997558594,453,538.97998046875,568,164,176,274.700012207031,308,289.5,218,108.75,118,115.5,140,339,332,301.760009765625,323,145.959991455078,178,261.989990234375,274,364.489990234375,382,NA,NA,NA,NA,NA,NA,NA,NA
