DailyQCReport_V0333_20250414_111259


Configuration Name,4-Laser-V16-B14-R8-UV16
Serial Number,V0333
Bead Lot ID,2006
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,550,0,0,2041.777,2.743955,495.9901
Violet,SSC,175,7,4.166667,1992.306,4.871129,10184.48
Blue,SSC-B,162,13,8.724833,2023.216,4.016055,11008.79
UV,UV1 (373),1284,296,29.95951,302.6,4.297094,52.0245
UV,UV2 (388),393,97,32.77027,2039.095,1.71084,485.8699
UV,UV3 (428),917,204,28.6115,1539.841,1.637399,1674.41
UV,UV4 (443),1379,312,29.24086,1247.668,1.567052,2184.903
UV,UV5 (458),831,174,26.48402,1224.895,1.206961,3057.612
UV,UV6 (473),662,140,26.81992,1535.888,1.182024,4629.565
UV,UV7 (514),848,175,26.00297,1704.762,1.139801,6927.319
UV,UV8 (542),653,134,25.81888,1047.539,1.178007,4819.888
UV,UV9 (582),859,178,26.13803,1369.875,1.253359,4195.406
UV,UV10 (613),469,101,27.44565,1242.232,1.217253,4518.907
UV,UV11 (664),591,113,23.64017,590.61,1.315215,2146.328
UV,UV12 (692),546,112,25.80645,493.71,1.32168,1107.284
UV,UV13 (720),714,140,24.39024,549.129,1.464616,1112.723
UV,UV14 (750),1223,243,24.79592,660.67,1.679196,1525.531
UV,UV15 (780),921,189,25.81967,618.819,1.615703,809.6601
UV,UV16 (812),1253,265,26.82186,860.387,2.012883,697.0507
Violet,V1 (428),320,10,3.225806,598.543,2.501595,1010.719
Violet,V2 (443),387,0,0,1269.228,2.138695,2167.458
Violet,V3 (458),290,5,1.754386,1390.648,1.978947,3500.795
Violet,V4 (473),210,5,2.439024,1253.862,1.853101,3382.849
Violet,V5 (508),243,10,4.291845,1067.493,1.893026,3375.901
Violet,V6 (525),204,11,5.699482,758.223,1.844522,2356.485
Violet,V7 (542),279,25,9.84252,905.115,1.857019,2302.279
Violet,V8 (581),430,51,13.45646,768.651,1.843171,1593.162
Violet,V9 (598),302,34,12.68657,771.656,1.838616,1019.025
Violet,V10 (615),348,42,13.72549,1170.558,1.795306,994.3297
Violet,V11 (664),281,18,6.844106,519.629,1.75922,435.9037
Violet,V12 (692),240,2,0.8403362,453.906,1.777018,245.913
Violet,V13 (720),236,-8,-3.278688,524.589,1.781644,146.5506
Violet,V14 (750),301,-24,-7.384615,467.504,1.828018,123.9182
Violet,V15 (780),564,-55,-8.885299,499.633,2.624907,77.14287
Violet,V16 (812),322,-29,-8.262108,574.621,2.369978,26.49873
Blue,B1 (508),1065,-5,-0.4672897,143.204,2.651954,369.6442
Blue,B2 (525),504,3,0.5988024,178.113,2.331462,398.8373
Blue,B3 (542),493,2,0.407332,546.632,2.178499,1150.901
Blue,B4 (581),489,3,0.6172839,747.954,1.918126,1321.742
Blue,B5 (598),477,-1,-0.209205,882.297,2.147138,1309.348
Blue,B6 (615),289,-3,-1.027397,931.465,2.008436,940.4016
Blue,B7 (661),555,-4,-0.7155635,575.131,1.768845,665.0707
Blue,B8 (679),451,-6,-1.31291,493.344,1.957729,584.3346
Blue,B9 (697),694,-8,-1.139601,608.363,1.88382,420.1813
Blue,B10 (717),502,-3,-0.5940594,423.046,2.18084,225.2193
Blue,B11 (738),295,-5,-1.666667,277.352,2.230533,130.6175
Blue,B12 (760),412,-10,-2.369668,275.523,2.174937,98.05437
Blue,B13 (783),692,-7,-1.001431,256.976,2.235674,65.80518
Blue,B14 (812),650,2,0.308642,550.953,2.288599,71.99957
Red,R1 (661),169,-5,-2.873563,420.741,2.371288,1388.369
Red,R2 (679),248,-9,-3.501945,1093.492,1.994172,2918.434
Red,R3 (697),325,-8,-2.402402,2050.759,1.662629,2113.149
Red,R4 (717),229,-9,-3.781513,1973.226,2.105522,1334.472
Red,R5 (738),187,-3,-1.578947,1643.522,1.981411,1024.034
Red,R6 (760),265,-3,-1.119403,1448.721,2.826059,720.972
Red,R7 (783),476,-3,-0.6263048,1915.387,1.843373,596.9666
Red,R8 (812),219,1,0.4587156,2119.913,2.669054,231.2864


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
Violet,-20.05,1.162156,9.855
Blue,0,1.178482,1.0875
Red,19.975,1.107536,73.536
UV,40.325,0.99415,0
FSC Area Scaling Factor,1.256277,Window Extension,3
Flow Rate,20.67
Temperature,24.12
