DailyQCReport_S0205_20250414_130536


QC Status,PASSED,Date,"April 14, 2025 - 13:05 PM"
Cytometer Name,Aurora CS,User,Admin
Serial Number,S0205,Nozzle Size,100
Configuration,5-Laser-V16-B14-R8-YG10-UV16,Nozzle Serial Number,K38006
Software,SpectroFloCS 1.4.1,Sheath Pressure,17.3

QC Beads
Lot ID,2006,Expiration date,"December 31, 2026"


Laser,Detector (nm),Gain,Gain Change,% Gain Change,Median (x1000), % rCV,Sensitivity
Detector Settings
Blue,FSC,424,2,0.4739337,1998.982,2.188707,2654.86
Violet,SSC,247,9,3.781513,2034.39,10.84377,10614.48
Blue,SSC-B,371,1,0.2702703,1997.963,3.02008,14406.75
UV,UV1 (373),909,80,9.650181,306.8865,5.080028,74.99004
UV,UV2 (388),443,40,9.925558,2043.832,4.199708,657.9128
UV,UV3 (428),302,25,9.02527,1538.865,3.751479,2203.856
UV,UV4 (443),319,21,7.04698,1239.113,3.752178,2680.226
UV,UV5 (458),317,25,8.561644,1226.477,3.586794,3614.255
UV,UV6 (473),412,34,8.994709,1551.773,3.37762,6253.469
UV,UV7 (514),589,47,8.671587,1705.682,3.049696,9042.115
UV,UV8 (542),535,40,8.080808,1061.21,2.935796,5176.152
UV,UV9 (582),698,51,7.882535,1383.446,2.938025,4944.151
UV,UV10 (613),388,24,6.593407,1241.875,2.909428,6282.211
UV,UV11 (664),486,28,6.113537,595.187,2.866304,2448.013
UV,UV12 (692),418,20,5.025126,496.866,2.909631,1303.017
UV,UV13 (720),621,53,9.330986,549.2405,3.260208,1312.031
UV,UV14 (750),1008,90,9.803922,662.111,3.515514,1791.128
UV,UV15 (780),784,81,11.52205,608.332,3.958152,1151.75
UV,UV16 (812),1415,358,33.86944,843.6665,7.739046,851.6924
Violet,V1 (428),259,-2,-0.7662835,596.743,2.449822,1479.65
Violet,V2 (443),341,-1,-0.2923977,1272.976,2.388076,3905.679
Violet,V3 (458),328,2,0.6134969,1377.266,2.390763,4382.563
Violet,V4 (473),212,2,0.952381,1235.36,2.368283,3926.709
Violet,V5 (508),231,2,0.8733625,1069.495,2.341629,4080.61
Violet,V6 (525),223,0,0,762.7735,2.352738,3035.916
Violet,V7 (542),298,2,0.6756757,897.918,2.279039,3135.757
Violet,V8 (581),389,-4,-1.017812,768.2545,2.227794,1842.817
Violet,V9 (598),346,1,0.2898551,787.7535,2.078162,1261.016
Violet,V10 (615),347,1,0.2890173,1171.534,1.982134,1129.864
Violet,V11 (664),269,-1,-0.3703704,529.1185,2.320088,530.1743
Violet,V12 (692),256,-1,-0.3891051,461.629,2.035669,291.3224
Violet,V13 (720),232,6,2.654867,525.3195,1.903516,198.3993
Violet,V14 (750),276,9,3.370786,467.3345,1.987836,142.3649
Violet,V15 (780),419,25,6.345178,501.217,2.44786,92.25823
Violet,V16 (812),466,101,27.67123,553.7395,7.008708,36.3578
Blue,B1 (508),1409,-46,-3.161512,145.0925,2.4708,511.432
Blue,B2 (525),839,-12,-1.410106,180.957,2.020202,528.7903
Blue,B3 (542),740,-4,-0.5376344,547.0025,1.92895,1450.073
Blue,B4 (581),637,-6,-0.933126,744.8675,1.725456,1596.918
Blue,B5 (598),580,-5,-0.8547009,892.585,1.694148,1758.203
Blue,B6 (615),449,1,0.2232143,944.461,1.706211,1116.937
Blue,B7 (661),932,22,2.417583,600.0605,1.707882,744.808
Blue,B8 (679),651,3,0.462963,504.3555,1.957332,750.6775
Blue,B9 (697),913,4,0.440044,611.154,1.937142,548.8558
Blue,B10 (717),728,5,0.691563,424.662,2.253649,287.9718
Blue,B11 (738),452,15,3.432494,281.4125,2.339869,176.8229
Blue,B12 (760),486,14,2.966102,278.554,2.38013,137.7069
Blue,B13 (783),587,35,6.34058,257.982,2.93144,98.15902
Blue,B14 (812),1150,247,27.35327,544.247,7.033007,88.1927
YellowGreen,YG1 (577),563,2,0.3565062,931.7395,1.757568,1632.193
YellowGreen,YG2 (598),580,16,2.836879,1856.552,1.79355,2066.823
YellowGreen,YG3 (615),364,9,2.535211,2743.658,1.773964,2616.299
YellowGreen,YG4 (661),750,35,4.895105,1581.371,1.644263,1794.152
YellowGreen,YG5 (679),551,14,2.607076,1392.214,1.928588,1578.03
YellowGreen,YG6 (697),735,34,4.850214,1571.504,2.039502,878.8307
YellowGreen,YG7 (720),494,27,5.781585,2126.074,2.375299,927.8781
YellowGreen,YG8 (750),485,28,6.126915,1099.014,2.373286,450.6017
YellowGreen,YG9 (780),569,43,8.174905,1047.983,2.658099,295.9767
YellowGreen,YG10 (812),838,163,24.14815,1192.43,6.339795,125.448
Red,R1 (661),236,-8,-3.278688,438.9715,2.236505,2014.487
Red,R2 (679),229,-11,-4.583333,1119.861,2.16867,3428.215
Red,R3 (697),433,-5,-1.141553,2055.588,1.607689,2736.432
Red,R4 (717),376,5,1.347709,2003.335,2.023386,1877.523
Red,R5 (738),228,5,2.242152,1648.288,2.023949,1464.54
Red,R6 (760),251,6,2.44898,1451.653,2.042216,1098.321
Red,R7 (783),518,33,6.804123,1907.48,3.029761,816.0034
Red,R8 (812),360,85,30.90909,2044.811,8.704268,292.8325


Laser Settings
Laser, Laser Delay, Area Scaling Factor
UV,-58.63,0.81
Red,-30.50,0.82
Blue,0.00,0.94
Violet,29.38,1.01
YellowGreen,57.68,0.95
FSC Area Scaling Factor,0.93,Window Extension,3
Temperature,25.6


Specifications
FSC,% rCV,<  6 (Recommended)
SSC-B,% rCV,<  8 (Recommended)
UV3,% rCV,<  6 (Recommended)
R3,% rCV,<  6 (Recommended)
B3,% rCV,<  6 (Recommended)
V3,% rCV,<  6 (Recommended)
YG3,% rCV,<  6 (Recommended)
All Channels,% Gain Change,<  100 (Recommended)

