"DateTime","FSC-Gain","SSC-Gain","SSC-B-Gain","UV1-Gain","UV2-Gain","UV3-Gain","UV4-Gain","UV5-Gain","UV6-Gain","UV7-Gain","UV8-Gain","UV9-Gain","UV10-Gain","UV11-Gain","UV12-Gain","UV13-Gain","UV14-Gain","UV15-Gain","UV16-Gain","V1-Gain","V2-Gain","V3-Gain","V4-Gain","V5-Gain","V6-Gain","V7-Gain","V8-Gain","V9-Gain","V10-Gain","V11-Gain","V12-Gain","V13-Gain","V14-Gain","V15-Gain","V16-Gain","B1-Gain","B2-Gain","B3-Gain","B4-Gain","B5-Gain","B6-Gain","B7-Gain","B8-Gain","B9-Gain","B10-Gain","B11-Gain","B12-Gain","B13-Gain","B14-Gain","R1-Gain","R2-Gain","R3-Gain","R4-Gain","R5-Gain","R6-Gain","R7-Gain","R8-Gain","Flag-FSC-Gain","Flag-SSC-Gain","Flag-SSC-B-Gain","Flag-UV1-Gain","Flag-UV2-Gain","Flag-UV3-Gain","Flag-UV4-Gain","Flag-UV5-Gain","Flag-UV6-Gain","Flag-UV7-Gain","Flag-UV8-Gain","Flag-UV9-Gain","Flag-UV10-Gain","Flag-UV11-Gain","Flag-UV12-Gain","Flag-UV13-Gain","Flag-UV14-Gain","Flag-UV15-Gain","Flag-UV16-Gain","Flag-V1-Gain","Flag-V2-Gain","Flag-V3-Gain","Flag-V4-Gain","Flag-V5-Gain","Flag-V6-Gain","Flag-V7-Gain","Flag-V8-Gain","Flag-V9-Gain","Flag-V10-Gain","Flag-V11-Gain","Flag-V12-Gain","Flag-V13-Gain","Flag-V14-Gain","Flag-V15-Gain","Flag-V16-Gain","Flag-B1-Gain","Flag-B2-Gain","Flag-B3-Gain","Flag-B4-Gain","Flag-B5-Gain","Flag-B6-Gain","Flag-B7-Gain","Flag-B8-Gain","Flag-B9-Gain","Flag-B10-Gain","Flag-B11-Gain","Flag-B12-Gain","Flag-B13-Gain","Flag-B14-Gain","Flag-R1-Gain","Flag-R2-Gain","Flag-R3-Gain","Flag-R4-Gain","Flag-R5-Gain","Flag-R6-Gain","Flag-R7-Gain","Flag-R8-Gain","FSC-% rCV","SSC-% rCV","SSC-B-% rCV","UV1-% rCV","UV2-% rCV","UV3-% rCV","UV4-% rCV","UV5-% rCV","UV6-% rCV","UV7-% rCV","UV8-% rCV","UV9-% rCV","UV10-% rCV","UV11-% rCV","UV12-% rCV","UV13-% rCV","UV14-% rCV","UV15-% rCV","UV16-% rCV","V1-% rCV","V2-% rCV","V3-% rCV","V4-% rCV","V5-% rCV","V6-% rCV","V7-% rCV","V8-% rCV","V9-% rCV","V10-% rCV","V11-% rCV","V12-% rCV","V13-% rCV","V14-% rCV","V15-% rCV","V16-% rCV","B1-% rCV","B2-% rCV","B3-% rCV","B4-% rCV","B5-% rCV","B6-% rCV","B7-% rCV","B8-% rCV","B9-% rCV","B10-% rCV","B11-% rCV","B12-% rCV","B13-% rCV","B14-% rCV","R1-% rCV","R2-% rCV","R3-% rCV","R4-% rCV","R5-% rCV","R6-% rCV","R7-% rCV","R8-% rCV","Flag-FSC-% rCV","Flag-SSC-% rCV","Flag-SSC-B-% rCV","Flag-UV1-% rCV","Flag-UV2-% rCV","Flag-UV3-% rCV","Flag-UV4-% rCV","Flag-UV5-% rCV","Flag-UV6-% rCV","Flag-UV7-% rCV","Flag-UV8-% rCV","Flag-UV9-% rCV","Flag-UV10-% rCV","Flag-UV11-% rCV","Flag-UV12-% rCV","Flag-UV13-% rCV","Flag-UV14-% rCV","Flag-UV15-% rCV","Flag-UV16-% rCV","Flag-V1-% rCV","Flag-V2-% rCV","Flag-V3-% rCV","Flag-V4-% rCV","Flag-V5-% rCV","Flag-V6-% rCV","Flag-V7-% rCV","Flag-V8-% rCV","Flag-V9-% rCV","Flag-V10-% rCV","Flag-V11-% rCV","Flag-V12-% rCV","Flag-V13-% rCV","Flag-V14-% rCV","Flag-V15-% rCV","Flag-V16-% rCV","Flag-B1-% rCV","Flag-B2-% rCV","Flag-B3-% rCV","Flag-B4-% rCV","Flag-B5-% rCV","Flag-B6-% rCV","Flag-B7-% rCV","Flag-B8-% rCV","Flag-B9-% rCV","Flag-B10-% rCV","Flag-B11-% rCV","Flag-B12-% rCV","Flag-B13-% rCV","Flag-B14-% rCV","Flag-R1-% rCV","Flag-R2-% rCV","Flag-R3-% rCV","Flag-R4-% rCV","Flag-R5-% rCV","Flag-R6-% rCV","Flag-R7-% rCV","Flag-R8-% rCV","Violet-Laser Delay","Blue-Laser Delay","Red-Laser Delay","UV-Laser Delay","Flag-Violet-Laser Delay","Flag-Blue-Laser Delay","Flag-Red-Laser Delay","Flag-UV-Laser Delay","Violet-Area Scaling Factor","Blue-Area Scaling Factor","Red-Area Scaling Factor","UV-Area Scaling Factor","Flag-Violet-Area Scaling Factor","Flag-Blue-Area Scaling Factor","Flag-Red-Area Scaling Factor","Flag-UV-Area Scaling Factor","Violet-Laser Power","Blue-Laser Power","Red-Laser Power","UV-Laser Power","Flag-Violet-Laser Power","Flag-Blue-Laser Power","Flag-Red-Laser Power","Flag-UV-Laser Power","FSCAreaScalingFactor","Flag-FSCAreaScalingFactor","FlowRate","Flag-FlowRate","Temperature","Flag-Temperature"
2024-12-16 10:13:59,550,166,164,1016,311,734,1076,662,535,684,523,691,382,477,449,600,1025,784,1281,312,361,261,190,232,203,282,433,298,327,233,210,213,288,569,434,1060,502,491,487,480,294,547,445,690,513,303,428,737,834,142,230,318,227,186,265,496,280,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.948312,4.96565,3.77996,3.253498,1.515072,1.480299,1.573149,1.372212,1.410815,1.397217,1.585762,1.585232,1.429983,1.401643,1.424974,1.961809,2.1965,2.615612,6.275622,1.906264,1.808091,1.819661,1.822731,1.771563,1.704989,1.730079,1.913143,1.818784,1.750022,2.105712,1.774834,1.654914,1.576466,2.4668,7.003448,2.460546,2.18231,2.093083,2.066285,2.225981,2.156873,2.031954,2.241959,1.907506,2.188439,2.189507,2.261945,2.896534,6.210322,1.889215,1.718874,1.544855,2.424379,2.421748,3.183527,3.114945,8.655387,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-20.1,0,20.1,40.3,FALSE,FALSE,FALSE,FALSE,1.157542,1.174521,1.107342,1.06586,FALSE,FALSE,FALSE,FALSE,9.915,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.25164,FALSE,19.16,FALSE,24.25,FALSE
2024-12-13 10:23:04,550,165,158,1004,301,717,1064,649,521,676,519,687,377,475,440,584,1004,759,1160,295,349,258,195,241,214,284,415,285,314,238,212,220,303,594,411,1047,494,482,479,473,290,547,442,688,505,297,417,709,752,148,237,320,228,185,265,483,252,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.494547,5.109138,3.185156,3.018111,1.403663,1.411627,1.595301,1.442787,1.469754,1.446519,1.542311,1.519974,1.434707,1.391882,1.406709,1.474837,1.627573,1.647977,2.829711,1.995824,1.871488,1.825267,1.702258,1.579965,1.515931,1.506406,1.584588,1.51253,1.515634,1.629376,1.63312,1.564501,1.588186,2.838652,3.204721,2.628843,2.288206,2.142882,1.890516,2.153267,1.932357,1.745066,1.963848,1.819757,2.120208,2.156209,2.111466,2.416851,3.424956,2.16438,1.888936,1.408228,1.917866,1.770723,2.518711,1.881664,3.863228,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-20.175,0,20.05,40.25,FALSE,FALSE,FALSE,FALSE,1.155052,1.177014,1.108437,1.072089,FALSE,FALSE,FALSE,FALSE,9.915,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.255193,FALSE,16.06,FALSE,24.75,FALSE
2024-12-12 10:11:29,550,164,160,1018,303,716,1076,660,526,683,529,690,384,484,451,591,1010,762,1092,314,373,272,195,221,195,266,430,308,345,259,224,218,281,530,337,1058,497,485,482,477,295,548,453,708,506,301,420,710,705,156,244,324,233,186,265,480,232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.390195,4.906365,3.074852,2.845809,1.401652,1.448996,1.632964,1.477364,1.503155,1.480075,1.554794,1.504703,1.473439,1.400596,1.414225,1.458126,1.599625,1.568477,2.412039,1.83384,1.566107,1.501197,1.487679,1.544588,1.514861,1.479548,1.507348,1.454566,1.502958,1.583683,1.648173,1.586673,1.527599,2.591232,2.701043,2.388166,1.963339,1.812747,1.667416,2.012846,1.973251,1.85943,2.148653,2.116548,2.391959,2.362243,2.569066,2.653757,3.257129,2.003026,1.743925,1.363349,1.801907,1.616656,2.271637,1.669726,2.946296,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-20.175,0,20.05,40.225,FALSE,FALSE,FALSE,FALSE,1.157875,1.17621,1.107923,1.069548,FALSE,FALSE,FALSE,FALSE,9.915,1.1075,73.832,0,FALSE,FALSE,FALSE,FALSE,1.254974,FALSE,14.79,FALSE,24.62,FALSE
2024-12-11 10:59:54,550,162,166,1065,318,753,1105,667,535,691,534,700,393,484,463,634,1083,849,1505,311,371,268,194,225,201,271,404,280,313,232,219,237,323,646,512,1071,506,492,482,478,294,533,436,701,518,307,435,765,938,140,230,330,245,195,278,538,334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.517328,3.946937,4.181394,3.180616,1.583866,1.457592,1.455007,1.301271,1.391124,1.323238,1.499683,1.4965,1.342173,1.3513,1.501096,2.040487,2.288215,2.629088,5.251225,2.236169,2.161099,2.222013,2.23731,2.183655,2.040475,1.944508,1.954665,1.929479,1.92114,2.169323,2.019371,2.052788,2.108049,3.069211,5.653482,2.66625,2.295336,2.207665,1.968416,2.198334,1.978292,1.811466,2.049082,1.913153,2.302985,2.388953,2.305321,3.072995,5.483955,2.608336,2.439465,2.353474,2.904975,2.915988,3.397529,3.297906,6.822166,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-20.25,0,20,40.275,FALSE,FALSE,FALSE,FALSE,1.171391,1.174488,1.104514,1.065176,FALSE,FALSE,FALSE,FALSE,9.974999,1.1275,73.88,0,FALSE,FALSE,FALSE,FALSE,1.258425,FALSE,14.79,FALSE,26.12,FALSE
2024-12-11 10:42:39,550,163,167,1069,321,751,1109,671,538,687,516,665,388,483,498,731,1283,1030,2120,313,372,268,190,223,199,264,384,273,307,227,229,265,364,767,778,1018,486,457,446,453,280,515,420,727,561,339,484,906,1356,132,224,358,274,227,326,656,500,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2.195189,4.223826,4.192745,3.214954,1.558182,1.498566,1.505517,1.343723,1.400152,1.406802,1.628701,1.662509,1.405596,1.510896,2.63817,3.972471,4.143708,4.934903,6.829579,1.945424,1.836177,1.891777,1.928638,1.923805,1.896673,1.950703,2.132339,1.735466,1.65636,1.780371,2.024585,2.805768,2.836072,3.917592,6.171005,2.686225,2.371026,2.352244,2.099232,2.215875,1.983163,1.840278,2.131843,2.573791,3.381017,3.497167,3.686023,4.739084,6.127144,2.50517,2.634378,3.589002,4.715733,4.75149,5.186941,5.384578,7.716683,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-20.2,0,20,40.275,FALSE,FALSE,FALSE,FALSE,1.172266,1.175128,1.104561,1.066073,FALSE,FALSE,FALSE,FALSE,9.974999,1.1275,73.88,0,FALSE,FALSE,FALSE,FALSE,1.258883,FALSE,15.78,FALSE,25.88,FALSE
2024-12-10 10:15:51,550,166,161,1036,311,741,1102,671,532,691,537,701,388,491,454,599,1023,767,1055,306,373,273,197,223,191,259,414,299,343,266,230,222,286,532,310,1077,510,494,497,482,295,554,457,699,512,301,421,706,655,165,255,335,237,190,272,484,223,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.727159,6.291249,6.101703,5.389579,1.979479,1.717469,1.75639,1.627446,1.666484,1.6697,1.784218,1.660318,1.57159,1.483972,1.532963,1.572943,1.712368,1.68182,2.321221,3.739111,3.640638,3.618374,3.53124,3.615924,3.532965,3.416596,3.143785,3.186863,2.995451,2.731058,2.718231,2.681832,2.801152,3.42437,3.592977,2.869243,2.84013,2.482405,2.293911,2.308596,2.282831,2.003263,2.194837,2.14062,2.634903,2.80335,2.960018,2.51722,3.023258,3.386394,3.044115,2.569304,3.286466,3.0019,4.574284,2.616008,4.179456,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-20.15,0,20.125,40.375,FALSE,FALSE,FALSE,FALSE,1.159877,1.175799,1.107391,1.067813,FALSE,FALSE,FALSE,FALSE,9.855,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.254279,FALSE,53.44,FALSE,24.62,FALSE
2024-12-09 12:34:17,550,163,160,1034,313,745,1110,675,532,679,502,653,395,494,531,814,1431,1175,2509,286,342,257,192,233,200,262,371,269,311,221,232,282,393,850,952,1021,470,442,434,446,282,515,433,769,618,373,541,1020,1599,127,228,390,317,257,367,770,620,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.780235,6.15659,5.969082,5.408189,1.934291,1.754187,1.779166,1.590571,1.574759,1.610435,1.925963,1.970458,1.823344,2.085027,4.130771,6.195554,6.643848,7.632195,9.600767,3.701214,3.777807,3.763344,3.706798,3.664691,3.576751,3.48432,3.412271,3.232477,2.957582,2.877713,3.681211,5.304257,5.533617,6.837693,9.428296,3.17434,3.255782,3.172563,3.110878,2.759222,2.442882,2.133295,2.477039,3.458913,4.684588,5.038762,5.480895,6.508798,8.133628,3.533069,3.797505,5.802211,7.567841,7.494012,8.393645,8.457691,10.97299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,-20.1,0,20.1,40.225,FALSE,FALSE,FALSE,FALSE,1.163123,1.174278,1.104327,1.067883,FALSE,FALSE,FALSE,FALSE,9.855,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.254047,FALSE,52.47,FALSE,24.88,FALSE
2024-12-09 11:58:27,550,163,160,1033,316,741,1100,671,540,685,508,668,395,484,512,749,1319,1055,2143,287,341,256,190,236,204,266,378,271,308,220,227,262,363,774,820,1028,479,456,447,454,285,517,428,755,584,352,506,937,1397,127,226,366,284,234,337,681,525,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3.921783,6.398204,5.783159,5.435544,2.010282,1.767384,1.820399,1.626323,1.637985,1.724513,2.174777,2.292021,1.752849,1.91155,4.405577,6.78153,7.295172,8.290846,10.82825,3.801926,3.82351,3.856572,3.777289,3.717856,3.569841,3.471478,3.404089,3.212443,3.022251,3.007382,4.115413,6.116761,6.365503,7.776537,11.15011,3.374038,3.541811,3.457461,3.362871,2.902273,2.53934,2.221316,2.507373,3.838515,5.372789,5.873824,6.336699,7.423215,10.04853,3.284024,3.55101,5.97556,7.807118,7.976253,8.525375,8.961725,12.23343,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,-20.175,0,20.175,40.4,FALSE,FALSE,FALSE,FALSE,1.161585,1.173012,1.104444,1.069249,FALSE,FALSE,FALSE,FALSE,9.915,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.252683,FALSE,55.03,FALSE,24.75,FALSE
2024-12-06 09:30:26,550,168,149,988,296,713,1067,657,522,673,519,681,368,478,434,574,980,732,988,310,387,285,205,233,193,254,379,268,306,263,238,244,325,619,351,1070,501,491,486,478,292,559,457,702,505,300,422,699,648,174,257,333,238,190,268,479,218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.554837,5.991571,4.700871,5.421682,2.020945,1.802001,1.842581,1.661761,1.702302,1.683588,1.761813,1.782465,1.732585,1.738861,1.743804,1.897352,1.993791,1.98937,2.440787,3.945995,3.810082,3.752502,3.68369,3.615502,3.540549,3.497234,3.314397,3.357006,3.276614,3.184079,3.100042,3.056223,3.065084,3.569808,3.827582,2.676394,2.634017,2.253481,2.17791,2.236331,2.278935,2.083249,2.225113,2.181052,2.628334,2.757953,3.046239,2.607835,2.891913,3.02513,2.550946,2.14977,2.745802,2.418279,3.706167,2.180172,3.360756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-19.975,0,20.15,40.2,FALSE,FALSE,FALSE,FALSE,1.143531,1.175741,1.101498,1.076525,FALSE,FALSE,FALSE,FALSE,9.855,1.0875,73.732,0,FALSE,FALSE,FALSE,FALSE,1.24909,FALSE,50.05,FALSE,23,FALSE
2024-12-05 10:07:03,606,200,185,1015,303,707,1056,646,523,672,522,689,375,483,458,622,1036,762,986,276,343,264,200,248,209,281,405,278,307,252,239,243,331,619,349,1073,484,500,483,488,306,571,475,744,567,336,431,710,654,172,283,331,264,198,279,488,205,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.215294,5.236791,4.77353,4.221989,1.738156,1.610936,1.757109,1.823205,1.825002,1.870453,1.953882,1.811475,1.922257,1.710106,1.675351,1.606941,1.457367,1.582917,1.911578,3.46464,3.435584,3.401127,3.294761,3.222856,3.135081,3.071321,2.838448,2.819183,2.740844,2.62157,2.599508,2.634195,2.691514,3.290572,3.093649,1.93866,2.005176,1.437731,1.586653,1.539853,2.033317,1.994039,1.867744,1.80676,2.075002,2.566352,3.326451,2.632545,3.259346,2.758848,1.936404,1.977429,2.377438,2.19333,3.762617,2.261714,3.520078,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-20.1,0,20.2,40.25,FALSE,FALSE,FALSE,FALSE,1.165531,1.181391,1.111528,1.073701,FALSE,FALSE,FALSE,FALSE,9.855,1.0875,73.784,0,FALSE,FALSE,FALSE,FALSE,1.254996,FALSE,44.99,FALSE,23.88,FALSE
